"a_in","a_out","b_in","b_out","num_common_outbound_neighbours","num_common_inbound_neighbours","num_common_a_out_b_in_neighbours","b_to_a_exists","mutual_following_a"
63,182,2239,4519,22,44,51,0,37
35,93,1,0,0,0,0,0,11
137,1884,620,0,0,44,56,0,132
237,98,39,0,0,9,4,0,18
37,107,5,0,0,0,0,0,17
174,1173,91,0,0,21,16,0,116
35,1987,1,0,0,0,0,0,33
2,14,3,0,0,0,0,0,1
100,280,207,2236,3,4,3,0,58
2,0,2,0,0,0,0,0,0
8,15,35,18,6,5,8,0,6
14,31,5,0,0,0,0,0,11
1,0,3,0,0,0,0,0,0
2,79,6,24,3,2,2,0,2
30,83,26,0,0,0,0,0,25
37,245,177,0,0,8,7,0,28
22,107,98,352,53,9,22,0,14
2,5,1444,26,0,0,0,0,2
8,19,16,0,0,2,2,0,7
1,0,1,0,0,0,0,0,0
1,0,3,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
60,932,57,0,0,3,3,0,46
92,1,2914,54,0,57,0,1,1
10,76,3,0,0,0,0,0,3
1,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
9,198,70,0,0,1,4,0,6
22,24,2,0,0,0,0,0,7
24,136,1,0,0,0,0,0,23
57,259,3,0,0,0,0,0,40
98,176,44,352,5,2,1,1,62
504,133,1,0,0,0,0,0,61
1,0,1,0,0,1,0,0,0
60,2234,101,0,0,4,6,0,56
197,1207,229,1174,82,31,34,1,150
13,178,1,0,0,0,0,0,10
13,15,1,0,0,0,0,0,7
127,51,895,297,13,80,19,1,22
182,1853,2,0,0,0,0,0,170
26,268,2,0,0,0,0,0,6
3,0,1,0,0,0,0,0,0
84,224,6,0,0,0,0,0,66
13,64,1252,118721,8,2,4,0,13
6,0,1,0,0,0,0,0,0
114,1978,2,0,0,1,1,0,96
35,196,11,0,0,7,6,0,25
57,319,444,4728,42,23,18,1,24
2,0,1,0,0,0,0,0,0
554,6014,84,0,0,43,49,0,499
47,202,1,0,0,0,0,0,43
711,2819,896,0,0,229,183,0,488
152,1376,7,0,0,5,5,0,106
9,95,1,0,0,0,0,0,9
115,704,10,36,8,0,1,0,113
2,6,176,0,0,0,1,0,2
93,1136,1,0,0,0,0,0,82
335,3238,1,0,0,0,0,0,255
18,33,8,0,0,0,0,0,8
99,33,1605,39,9,99,26,0,19
15,0,1,0,0,0,0,0,0
42,117,1294,58,6,18,24,0,27
3,10,1,7,0,0,0,1,3
50,236,2,0,0,0,0,0,30
48,140,1,0,0,0,0,0,35
9,3,14,90,0,3,0,1,2
18,928,1,0,0,0,0,0,18
34,152,1,0,0,0,0,0,19
59,115,46,0,0,19,13,0,30
14,377,46,0,0,1,2,0,10
117,68,27,0,0,0,0,0,13
121,652,66,0,0,3,3,0,88
20,259,266,0,0,1,1,0,19
65,295,42,0,0,4,3,0,33
83,1320,18,0,0,2,4,0,70
173,630,17,0,0,12,11,0,133
24,43,53,1015,0,0,1,0,18
139,37,2,0,0,0,0,0,0
3,26,152,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0
43,451,1,0,0,0,0,0,41
2,0,2,0,0,0,0,0,0
69,195,2,0,0,1,1,0,24
26,384,7,0,0,4,3,0,17
5,89,44,0,0,1,1,0,3
1,45,10,0,0,0,0,0,1
65,514,63,364,55,7,8,1,48
45,13,4,0,0,0,0,0,3
4,0,1,0,0,0,0,0,0
9,35,2035,62813,0,0,0,0,7
2,0,2,0,0,0,0,0,0
70,342,2,0,0,0,0,0,60
58,551,13,0,0,7,6,0,32
3,0,1,0,0,0,0,0,0
153,922,1,0,0,1,1,0,143
380,997,1412,1533,24,158,51,1,191
11,99,87,147,5,1,1,0,9
1,0,2,0,0,1,0,0,0
477,512,5,0,0,3,0,0,114
106,6327,2,0,0,1,1,0,89
62,603,21,0,0,5,6,0,46
1,0,1,0,0,0,0,0,0
13,70,44,2081,2,1,1,1,11
26,0,1,0,0,0,0,0,0
6,234,71,0,0,0,0,0,5
20,60,7,0,0,2,2,0,16
80,236,1,0,0,1,0,0,25
5,0,1,0,0,0,0,0,0
74,1957,711,34733,626,55,61,1,71
35,452,38,8,5,2,4,0,30
1999,7561,30,0,0,16,17,0,1129
10,30,3,0,0,1,1,0,5
87,101,1,0,0,0,0,0,47
59,725,1181,26502,371,38,59,1,57
27,267,1,0,0,1,1,0,16
7,98,8,0,0,0,0,0,5
15,110,155,0,0,1,0,0,6
2,0,22,81,0,0,0,0,0
8,72,5,0,0,1,1,0,6
124,315,1,0,0,0,0,0,100
34,21,18,19,11,16,9,1,13
23,30,5,0,0,0,0,0,16
159,212,55,56,19,31,25,0,106
81,853,5,0,0,1,1,0,63
2,18,10,0,0,0,2,0,1
273,6808,7,0,0,2,2,0,269
2,0,1,0,0,0,0,0,0
1,30,1,0,0,0,0,0,1
2,644,3,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0
1,0,2,0,0,0,0,0,0
7,253,4,0,0,2,3,0,7
11,232,31,0,0,4,4,0,9
54,59,48,0,0,5,1,0,17
65,1122,104,0,0,18,20,0,62
1,48,126,25,3,0,1,0,1
